,Unnamed: 0,Date,Start1,Start2,W/L,End1,End2
0,0,10/29/14,2014-10-29 19:30:00,2014-10-29 20:00:00,L,2014-10-29 22:15:00,2014-10-29 22:45:00
1,1,11/2/14,2014-11-02 19:00:00,2014-11-02 19:30:00,W,2014-11-02 21:45:00,2014-11-02 22:15:00
2,2,11/4/14,2014-11-04 19:00:00,2014-11-04 19:30:00,L,2014-11-04 21:45:00,2014-11-04 22:15:00
3,3,11/10/14,2014-11-10 19:00:00,2014-11-10 19:30:00,L,2014-11-10 21:45:00,2014-11-10 22:15:00
4,4,11/12/14,2014-11-12 19:00:00,2014-11-12 19:30:00,L,2014-11-12 21:45:00,2014-11-12 22:15:00
5,5,11/14/14,2014-11-14 19:00:00,2014-11-14 19:30:00,L,2014-11-14 21:45:00,2014-11-14 22:15:00
6,6,11/16/14,2014-11-16 12:30:00,2014-11-16 13:00:00,W,2014-11-16 15:15:00,2014-11-16 15:45:00
7,7,11/22/14,2014-11-22 19:00:00,2014-11-22 19:30:00,W,2014-11-22 21:45:00,2014-11-22 22:15:00
8,8,11/30/14,2014-11-30 19:00:00,2014-11-30 19:30:00,L,2014-11-30 21:45:00,2014-11-30 22:15:00
9,9,12/2/14,2014-12-02 19:00:00,2014-12-02 19:30:00,L,2014-12-02 21:45:00,2014-12-02 22:15:00
10,10,12/4/14,2014-12-04 19:30:00,2014-12-04 20:00:00,L,2014-12-04 22:15:00,2014-12-04 22:45:00
11,11,12/7/14,2014-12-07 19:00:00,2014-12-07 19:30:00,L,2014-12-07 21:45:00,2014-12-07 22:15:00
12,12,12/14/14,2014-12-14 19:00:00,2014-12-14 19:30:00,L,2014-12-14 21:45:00,2014-12-14 22:15:00
13,13,12/16/14,2014-12-16 19:30:00,2014-12-16 20:00:00,L,2014-12-16 22:15:00,2014-12-16 22:45:00
14,14,12/20/14,2014-12-20 12:30:00,2014-12-20 13:00:00,L,2014-12-20 15:15:00,2014-12-20 15:45:00
15,15,12/25/14,2014-12-25 11:30:00,2014-12-25 12:00:00,L,2014-12-25 14:15:00,2014-12-25 14:45:00
16,16,1/2/15,2015-01-02 19:00:00,2015-01-02 19:30:00,L,2015-01-02 21:45:00,2015-01-02 22:15:00
17,17,1/4/15,2015-01-04 19:00:00,2015-01-04 19:30:00,L,2015-01-04 21:45:00,2015-01-04 22:15:00
18,18,1/8/15,2015-01-08 19:30:00,2015-01-08 20:00:00,L,2015-01-08 22:15:00,2015-01-08 22:45:00
19,19,1/10/15,2015-01-10 12:30:00,2015-01-10 13:00:00,L,2015-01-10 15:15:00,2015-01-10 15:45:00
20,20,1/19/15,2015-01-19 17:00:00,2015-01-19 17:30:00,W,2015-01-19 19:45:00,2015-01-19 20:15:00
21,21,1/23/15,2015-01-23 19:00:00,2015-01-23 19:30:00,W,2015-01-23 21:45:00,2015-01-23 22:15:00
22,22,1/28/15,2015-01-28 19:30:00,2015-01-28 20:00:00,W,2015-01-28 22:15:00,2015-01-28 22:45:00
23,23,2/1/15,2015-02-01 13:30:00,2015-02-01 14:00:00,W,2015-02-01 16:15:00,2015-02-01 16:45:00
24,24,2/3/15,2015-02-03 19:00:00,2015-02-03 19:30:00,L,2015-02-03 21:45:00,2015-02-03 22:15:00
25,25,2/7/15,2015-02-07 19:00:00,2015-02-07 19:30:00,L,2015-02-07 21:45:00,2015-02-07 22:15:00
26,26,2/20/15,2015-02-20 19:00:00,2015-02-20 19:30:00,L,2015-02-20 21:45:00,2015-02-20 22:15:00
27,27,2/22/15,2015-02-22 12:30:00,2015-02-22 13:00:00,L,2015-02-22 15:15:00,2015-02-22 15:45:00
28,28,2/28/15,2015-02-28 19:00:00,2015-02-28 19:30:00,W,2015-02-28 21:45:00,2015-02-28 22:15:00
29,29,3/3/15,2015-03-03 18:30:00,2015-03-03 19:00:00,L,2015-03-03 21:15:00,2015-03-03 21:45:00
30,30,3/7/15,2015-03-07 19:00:00,2015-03-07 19:30:00,L,2015-03-07 21:45:00,2015-03-07 22:15:00
31,31,3/17/15,2015-03-17 19:00:00,2015-03-17 19:30:00,W,2015-03-17 21:45:00,2015-03-17 22:15:00
32,32,3/19/15,2015-03-19 19:00:00,2015-03-19 19:30:00,L,2015-03-19 21:45:00,2015-03-19 22:15:00
33,33,3/23/15,2015-03-23 19:00:00,2015-03-23 19:30:00,L,2015-03-23 21:45:00,2015-03-23 22:15:00
34,34,3/25/15,2015-03-25 18:30:00,2015-03-25 19:00:00,L,2015-03-25 21:15:00,2015-03-25 21:45:00
35,35,3/27/15,2015-03-27 19:00:00,2015-03-27 19:30:00,L,2015-03-27 21:45:00,2015-03-27 22:15:00
36,36,4/1/15,2015-04-01 19:00:00,2015-04-01 19:30:00,L,2015-04-01 21:45:00,2015-04-01 22:15:00
37,37,4/5/15,2015-04-05 19:00:00,2015-04-05 19:30:00,W,2015-04-05 21:45:00,2015-04-05 22:15:00
38,38,4/8/15,2015-04-08 19:00:00,2015-04-08 19:30:00,L,2015-04-08 21:45:00,2015-04-08 22:15:00
39,39,4/10/15,2015-04-10 19:00:00,2015-04-10 19:30:00,L,2015-04-10 21:45:00,2015-04-10 22:15:00
40,40,4/15/15,2015-04-15 19:30:00,2015-04-15 20:00:00,L,2015-04-15 22:15:00,2015-04-15 22:45:00
